"Data Source type name","Customer Sale Type","Product Type","Shopify Campaign","Data Origin Identifier","Data Source description","Data Source definition label","Data Source id","Data Source name","Campaign","Media type","Paid / Organic","Traffic source","Currency","Funnel Workspace id","Funnel Workspace name","Date","Billing City","Billing Country","Billing Province","Billing Zip Code","Customer Created At","Customer ID","Customer Order Index","Customer Tags","First Visit Campaign","First Visit Content","First Visit Medium","First Visit Referrer URL","First Visit Source","First Visit Source from UTM","First Visit Term","Fully Paid","Last Visit Campaign","Last Visit Content","Last Visit Medium","Last Visit Referrer URL","Last Visit Source","Last Visit Source from UTM","Last Visit Term","Line Item ID","Line Item Name","Order Action Type","Order App Name","Order Created At","Order Discount Code","Order ID","Order Location Name","Order Name","Order Tags","Order Updated At","Product ID","Product Tags","Product Title","Product Vendor","Sale Action Type","Sale ID","Sale Line Type","Sales Channel","Shipping City","Shipping Country","Shipping Province","Shipping Zip Code","Shopify Medium","Shopify Traffic Source","SKU","Transaction Timestamp","Variant ID","Variant Title","Orders","Total Sales (GBP)","Row Count","Clicks","Cost (GBP)","CPC (GBP)","CPM (GBP)","CTR","Impressions","Duties (GBP)","Tips (GBP)","Discounts (GBP)","Gross Sales (GBP)","Line Item Original Unit Price (GBP)","Net Sales (GBP)","Returns (GBP)","Sales Quantity","Shipping (GBP)","Taxes (GBP)","Total Amount Including Taxes (GBP)","Total Discount Amount Excluding Taxes (GBP)","Total Discount Amount Including Taxes (GBP)","Total Tax Amount (GBP)"
"Shopify","First-time","Period Pants",,"shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Barnet","United Kingdom","England","EN5 5HP","2023-08-21 18:12:58","6790407717032","1","",,,,"android-app://com.google.android.googlequicksearchbox/","android-app://com.google.android.googlequicksearchbox/",,,"True",,,,"https://www.bodyform.co.uk/","https://www.bodyform.co.uk/",,,"12586511597736","Cotton Hipster Period Pants (3 Pack) Heavy - Black / M","ORDER","Online Store","2023-08-21 18:13:28",,"5258586390696",,"UK#18176","SYKES - Shipped","2023-08-22 08:07:22","7706449772712","abs:heavy, Cotton, hipster, Multipack, new, rib:3 Pack","Cotton Hipster Period Pants (3 Pack) Heavy","intimawear by Bodyform™","ORDER","16177103863976","PRODUCT","Online Store","Barnet","United Kingdom","England","EN5 5HP",,"https://www.bodyform.co.uk/","7824600","2023-08-21 18:13:27","43071708790952","Black / M",1,43.99,1,,,,,,,0,0,0,36.66,43.99,36.66,0,1,0,7.33,43.99,0,0,7.33
"Shopify","First-time",,,"shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Barnet","United Kingdom","England","EN5 5HP","2023-08-21 18:12:58","6790407717032","1","",,,,"android-app://com.google.android.googlequicksearchbox/","android-app://com.google.android.googlequicksearchbox/",,,"True",,,,"https://www.bodyform.co.uk/","https://www.bodyform.co.uk/",,,,,"ORDER","Online Store","2023-08-21 18:13:28",,"5258586390696",,"UK#18176","SYKES - Shipped","2023-08-22 08:07:22",,,,,"ORDER","16177103896744","SHIPPING","Online Store","Barnet","United Kingdom","England","EN5 5HP",,"https://www.bodyform.co.uk/",,"2023-08-21 18:13:27",,,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shopify","First-time","Period Pants",,"shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Birmingham","United Kingdom","England","B5 6QQ","2023-07-12 16:44:53","6744559747240","1","",,,,,,,,"True",,,,,,,,"12498743263400","Hipster Full Lace Moderate - Fuchsia / S","REFUND","Online Store","2023-07-12 16:46:58",,"5211526103208",,"UK#16933","SYKES - Shipped","2023-08-21 09:37:44","7356845293736","abs:moderate, hipster, online, periodpant","Hipster Full Lace Moderate","intimawear by Bodyform™","RETURN","16175980478632","PRODUCT","Online Store","Birmingham","United Kingdom","England","B5 6QQ",,,"7787300","2023-08-21 09:37:44","42716066480296","Fuchsia / S",0,-17.49,1,,,,,,,0,0,0,0,17.49,-14.57,14.57,-1,0,-2.92,-17.49,0,0,-2.92
"Shopify","First-time","Period Pants",,"shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Bradford","United Kingdom","England","BD6 2QT","2023-08-21 18:42:03","6790431670440","1","",,,,,,,,"True",,,,,,,,"12586578968744","Cotton Hipster Period Pants (3 Pack) Moderate - Black / L","ORDER","Online Store","2023-08-21 18:45:21",,"5258621157544",,"UK#18178","SYKES - Shipped","2023-08-22 08:07:30","7706438041768","abs:moderate, Cotton, hipster, Multipack, new, rib:3 Pack","Cotton Hipster Period Pants (3 Pack) Moderate","intimawear by Bodyform™","ORDER","16177204887720","PRODUCT","Online Store","Bradford","United Kingdom","England","BD6 2QT",,,"7824000","2023-08-21 18:45:20","43071682216104","Black / L",1,41.99,1,,,,,,,0,0,0,34.99,41.99,34.99,0,1,0,7,41.99,0,0,7
"Shopify","First-time",,,"shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Bradford","United Kingdom","England","BD6 2QT","2023-08-21 18:42:03","6790431670440","1","",,,,,,,,"True",,,,,,,,,,"ORDER","Online Store","2023-08-21 18:45:21",,"5258621157544",,"UK#18178","SYKES - Shipped","2023-08-22 08:07:30",,,,,"ORDER","16177204920488","SHIPPING","Online Store","Bradford","United Kingdom","England","BD6 2QT",,,,"2023-08-21 18:45:20",,,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shopify","First-time","Period Pants","FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C TEENS_08August-8September_2023-08_2023-09_Zenith Hub_GLB0004HJV","shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare...","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Coventry","United Kingdom","England","CV7 9LB","2023-08-21 10:27:20","6790076170408","1","","FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C TEENS_08August-8September_2023-08_2023-09_Zenith Hub_GLB0004HJV","Social-Image__|Washables|Buy-now|Intimawear|UK_BODYFORM_TEENS_STATIC_01.jpg_N/A_None_None_Social_Cost-per-Thousand_Cross-Device/-Screen|","Paid-Social","http://m.facebook.com/","Facebook","fb",,"True",,,,,,,,"12585823535272","Teen Brief Logo Waistband Moderate - Black and orange / M","ORDER","Online Store","2023-08-21 10:27:25",,"5258210476200",,"UK#18171","SYKES - Shipped","2023-08-22 07:57:15","7832052793512","abs:moderate, brief, rib:new, Teen","Teen Brief Logo Waistband Moderate","Bodyform™","ORDER","16176055812264","PRODUCT","Online Store","Coventry","United Kingdom","England","CV7 9LB","Paid-Social","fb","7333300","2023-08-21 10:27:23","43700669218984","Black and orange / M",1,16.19,1,,,,,,,0,0,0,13.49,16.19,13.49,0,1,0,2.7,16.19,0,0,2.7
"Shopify","First-time","Period Pants","FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C TEENS_08August-8September_2023-08_2023-09_Zenith Hub_GLB0004HJV","shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare...","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Coventry","United Kingdom","England","CV7 9LB","2023-08-21 10:27:20","6790076170408","1","","FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C TEENS_08August-8September_2023-08_2023-09_Zenith Hub_GLB0004HJV","Social-Image__|Washables|Buy-now|Intimawear|UK_BODYFORM_TEENS_STATIC_01.jpg_N/A_None_None_Social_Cost-per-Thousand_Cross-Device/-Screen|","Paid-Social","http://m.facebook.com/","Facebook","fb",,"True",,,,,,,,"12585823568040","Teen Brief Logo Waistband Moderate - Black and white / M","ORDER","Online Store","2023-08-21 10:27:25",,"5258210476200",,"UK#18171","SYKES - Shipped","2023-08-22 07:57:15","7832052793512","abs:moderate, brief, rib:new, Teen","Teen Brief Logo Waistband Moderate","Bodyform™","ORDER","16176055845032","PRODUCT","Online Store","Coventry","United Kingdom","England","CV7 9LB","Paid-Social","fb","7335100","2023-08-21 10:27:23","43725792215208","Black and white / M",0,16.19,1,,,,,,,0,0,0,13.49,16.19,13.49,0,1,0,2.7,16.19,0,0,2.7
"Shopify","First-time",,"FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C TEENS_08August-8September_2023-08_2023-09_Zenith Hub_GLB0004HJV","shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare...","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Coventry","United Kingdom","England","CV7 9LB","2023-08-21 10:27:20","6790076170408","1","","FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C TEENS_08August-8September_2023-08_2023-09_Zenith Hub_GLB0004HJV","Social-Image__|Washables|Buy-now|Intimawear|UK_BODYFORM_TEENS_STATIC_01.jpg_N/A_None_None_Social_Cost-per-Thousand_Cross-Device/-Screen|","Paid-Social","http://m.facebook.com/","Facebook","fb",,"True",,,,,,,,,,"ORDER","Online Store","2023-08-21 10:27:25",,"5258210476200",,"UK#18171","SYKES - Shipped","2023-08-22 07:57:15",,,,,"ORDER","16176055877800","SHIPPING","Online Store","Coventry","United Kingdom","England","CV7 9LB","Paid-Social","fb",,"2023-08-21 10:27:23",,,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shopify","First-time","Period Pants",,"shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Irvine","United Kingdom","Scotland","KA11 5BX","2023-07-29 22:22:10","6761195667624","1","",,,,,,,,"True",,,,,,,,"12535682957480","Bikini Basic Moderate - Black / M","REFUND","Online Store","2023-07-29 22:23:47",,"5230925349032",,"UK#17745","SYKES - Shipped","2023-08-21 09:29:59","5592255168680","abs:moderate, bikini, online, periodpant","Bikini Basic Moderate","intimawear by Bodyform™","RETURN","16175973400744","PRODUCT","Online Store","Irvine","United Kingdom","Scotland","KA11 5BX",,,"7267200","2023-08-21 09:29:59","35643095187624","Black / M",0,-14.99,1,,,,,,,0,0,0,0,14.99,-12.49,12.49,-1,0,-2.5,-14.99,0,0,-2.5
"Shopify","First-time","Period Pants","GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C Summer Sale_15June-31July_2023-06_2023-07_Zenith Hub_GLB00047XW","shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C Summer Sale_15June-31July_202...","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Llanelli","United Kingdom","Wales","SA14 6AW","2023-07-01 09:19:21","6731195318440","1","","GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C Summer Sale_15June-31July_2023-06_2023-07_Zenith Hub_GLB00047XW","Social-Image__|Washables|Buy-now|Intimawear|UK_BODYFORM_SUMMER_SALE_RETARGETING_STATIC_02.jpg_N/A_None_None_Social_Cost-per-Thousand_Cross-Device/-Screen|","paid-social",,"an unknown source","fb",,"True",,,,,,,,"12473633374376","Bikini Basic Heavy - Burgundy / 2XS","REFUND","Online Store","2023-07-01 09:20:43",,"5197954580648",,"UK#16582","PayPal, SYKES - Shipped","2023-08-21 09:34:59","7635515310248","abs:heavy, bikini, new, online, periodpant","Bikini Basic Heavy","intimawear by Bodyform™","RETURN","16175977365672","PRODUCT","Online Store","Llanelli","United Kingdom","Wales","SA14 6AW","paid-social","fb","7816600","2023-08-21 09:34:59","42931253641384","Burgundy / 2XS",0,-14.99,1,,,,,,,0,0,0,0,14.99,-12.49,12.49,-1,0,-2.5,-14.99,0,0,-2.5
"Shopify","Returning","Period Pants","TeensCampaign","shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","TeensCampaign","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","London","United Kingdom","England","NW6 4LE","2022-12-29 10:40:27","6480683794600","2","2 Purchases, newsletter, prospect","TeensCampaign",,"Brandwebsite","https://www.bodyform.co.uk/","https://www.bodyform.co.uk/","Bodyform","Teensbannerbrand","True",,,,"https://shop.bodyform.co.uk/collections/heavy-absorbency","direct",,,"12585849520296","Teen Hipster Print (3 Pack) Heavy - Multi / S","ORDER","Online Store","2023-08-21 11:03:09",,"5258227548328",,"UK#18172","SYKES - Shipped","2023-08-22 07:57:19","7832584093864","abs:heavy, hipster, rib:new, Teen","Teen Hipster Print (3 Pack) Heavy","Bodyform™","ORDER","16176096018600","PRODUCT","Online Store","London","United Kingdom","England","EC4R 9AT","Direct","direct","7339000","2023-08-21 11:03:03","43705357172904","Multi / S",1,49.99,1,,,,,,,0,0,0,41.66,49.99,41.66,0,1,0,8.33,49.99,0,0,8.33
"Shopify","Returning",,"TeensCampaign","shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","TeensCampaign","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","London","United Kingdom","England","NW6 4LE","2022-12-29 10:40:27","6480683794600","2","2 Purchases, newsletter, prospect","TeensCampaign",,"Brandwebsite","https://www.bodyform.co.uk/","https://www.bodyform.co.uk/","Bodyform","Teensbannerbrand","True",,,,"https://shop.bodyform.co.uk/collections/heavy-absorbency","direct",,,,,"ORDER","Online Store","2023-08-21 11:03:09",,"5258227548328",,"UK#18172","SYKES - Shipped","2023-08-22 07:57:19",,,,,"ORDER","16176096051368","SHIPPING","Online Store","London","United Kingdom","England","EC4R 9AT","Direct","direct",,"2023-08-21 11:03:03",,,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shopify","First-time","Period Pants","GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C Summer Sale_15June-31July_2023-06_2023-07_Zenith Hub_GLB00047XW","shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C Summer Sale_15June-31July_202...","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","London ","United Kingdom","England","NW9 8HP","2023-07-16 21:01:56","6748562882728","1","","GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C Summer Sale_15June-31July_2023-06_2023-07_Zenith Hub_GLB00047XW","Social-Image__|Washables|Buy-now|Intimawear|UK_BODYFORM_SUMMER_SALE_STATIC_01.jpg_N/A_None_None_Social_Cost-per-Thousand_Cross-Device/-Screen|","paid-social","http://instagram.com/","Instagram","ig",,"True",,,,,,,,"12507719205032","Teen Hipster Waistband Heavy - Black / 2XS","REFUND","Online Store","2023-07-16 21:03:23",,"5216336314536",,"UK#17132","SYKES - Shipped","2023-08-21 09:31:41","7832041357480","abs:heavy, hipster, rib:new, Teen","Teen Hipster Waistband Heavy","Bodyform™","RETURN","16175974973608","PRODUCT","Online Store","London ","United Kingdom","England","NW9 8HP","paid-social","ig","7329000","2023-08-21 09:31:41","43700291535016","Black / 2XS",0,-19.99,1,,,,,,,0,0,0,0,19.99,-16.66,16.66,-1,0,-3.33,-19.99,0,0,-3.33
"Shopify","First-time","Period Pants","FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C TEENS_08August-8September_2023-08_2023-09_Zenith Hub_GLB0004HJV","shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare...","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Newcastle upon Tyne","United Kingdom","England","NE12 9BA","2023-08-21 18:16:30","6790410535080","1","","FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C TEENS_08August-8September_2023-08_2023-09_Zenith Hub_GLB0004HJV","Social-Image__|Washables|Buy-now|Intimawear|UK_BODYFORM_TEENS_CAROUSEL_01.jpg_N/A_None_None_Social_Cost-per-Thousand_Cross-Device/-Screen|","Paid-Social","http://m.facebook.com/","Facebook","fb",,"True",,,,,,,,"12586523394216","Teen Hipster Waistband Moderate - Pink / 2XS","ORDER","Online Store","2023-08-21 18:18:12",,"5258591436968",,"UK#18177","SYKES - Shipped","2023-08-22 08:07:26","7832041095336","abs:moderate, hipster, rib:new, Teen","Teen Hipster Waistband Moderate","Bodyform™","ORDER","16177120805032","PRODUCT","Online Store","Newcastle upon Tyne","United Kingdom","England","NE12 9BA","Paid-Social","fb","7333800","2023-08-21 18:18:11","43725747126440","Pink / 2XS",1,32.38,1,,,,,,,0,0,0,26.98,16.19,26.98,0,2,0,5.4,32.38,0,0,5.4
"Shopify","First-time",,"FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C TEENS_08August-8September_2023-08_2023-09_Zenith Hub_GLB0004HJV","shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare...","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Newcastle upon Tyne","United Kingdom","England","NE12 9BA","2023-08-21 18:16:30","6790410535080","1","","FACEBOOK ONLINE TOOL GBP (FB IRE)_GB_Bodyform_Social_FC-All_FC-Underwear_Initial-Purchase_Femcare D2C TEENS_08August-8September_2023-08_2023-09_Zenith Hub_GLB0004HJV","Social-Image__|Washables|Buy-now|Intimawear|UK_BODYFORM_TEENS_CAROUSEL_01.jpg_N/A_None_None_Social_Cost-per-Thousand_Cross-Device/-Screen|","Paid-Social","http://m.facebook.com/","Facebook","fb",,"True",,,,,,,,,,"ORDER","Online Store","2023-08-21 18:18:12",,"5258591436968",,"UK#18177","SYKES - Shipped","2023-08-22 08:07:26",,,,,"ORDER","16177120837800","SHIPPING","Online Store","Newcastle upon Tyne","United Kingdom","England","NE12 9BA","Paid-Social","fb",,"2023-08-21 18:18:11",,,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shopify","First-time",,,"shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Northampton","United Kingdom","England","NN4 8JR","2023-07-03 11:49:02","6733260587176","1","",,,,"https://www.google.co.uk/","Google",,,"True",,,,,,,,,,"REFUND","Online Store","2023-07-03 11:49:57",,"5200387342504",,"UK#16671","Express Shipping, SYKES - Shipped","2023-08-21 09:30:44",,,,,"RETURN","16175973859496","ADJUSTMENT","Online Store","Northampton","United Kingdom","England","NN4 8JR",,"Google",,"2023-08-21 09:30:32",,,0,16.19,1,,,,,,,0,0,0,0,0,16.19,-16.19,0,0,0,16.19,0,0,0
"Shopify","First-time","Period Pants",,"shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Northampton","United Kingdom","England","NN4 8JR","2023-07-03 11:49:02","6733260587176","1","",,,,"https://www.google.co.uk/","Google",,,"True",,,,,,,,"12478282694824","Hipster Side Lace Heavy - Black / M","REFUND","Online Store","2023-07-03 11:49:57",,"5200387342504",,"UK#16671","Express Shipping, SYKES - Shipped","2023-08-21 09:30:44","7375890874536","abs:heavy, hipster, periodpant","Hipster Side Lace Heavy","intimawear by Bodyform™","RETURN","16175973892264","PRODUCT","Online Store","Northampton","United Kingdom","England","NN4 8JR",,"Google","7969200","2023-08-21 09:30:32","42111816892584","Black / M",0,-16.19,1,,,,,,,0,0,0,0,16.19,-13.49,13.49,-1,0,-2.7,-16.19,0,0,-2.7
"Shopify","First-time",,,"shopify:gid://shopify/Shop/44753682600","Shopify: Bodyform™ - 881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Sales Transaction","881e7e57-a5d9-40e4-a8e3-081b0b0311a3","Bodyform™","","Unknown","Paid","Other","GBP","-NcNKWSmX0z9Fm9v6Yyk","cg_poc_01","2023-08-21","Northampton","United Kingdom","England","NN4 8JR","2023-07-03 11:49:02","6733260587176","1","",,,,"https://www.google.co.uk/","Google",,,"True",,,,,,,,,,"REFUND","Online Store","2023-07-03 11:49:57",,"5200387342504",,"UK#16671","Express Shipping, SYKES - Shipped","2023-08-21 09:30:44",,,,,"RETURN","16175973990568","ADJUSTMENT","Online Store","Northampton","United Kingdom","England","NN4 8JR",,"Google",,"2023-08-21 09:30:32",,,0,-16.19,1,,,,,,,0,0,0,0,0,-16.19,16.19,0,0,0,-16.19,0,0,0
